State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Value_dollars
ARIZONA,4,NORTHERN,10,YAVAPAI,25,CROP TOTALS,"14,344,000"
ARIZONA,4,SOUTHERN,80,COCHISE,3,CROP TOTALS,"82,425,000"
ARIZONA,4,SOUTHERN,80,GRAHAM,9,CROP TOTALS,"54,751,000"
ARIZONA,4,SOUTHERN,80,GREENLEE,11,CROP TOTALS,"2,164,000"
ARIZONA,4,SOUTHERN,80,LAPAZ,12,CROP TOTALS, na
ARIZONA,4,SOUTHERN,80,MARICOPA,13,CROP TOTALS,"475,684,000"
ARIZONA,4,SOUTHERN,80,PIMA,19,CROP TOTALS,"63,600,000"
ARIZONA,4,SOUTHERN,80,PINAL,21,CROP TOTALS,"307,665,000"
ARIZONA,4,SOUTHERN,80,SANTA CRUZ,23,CROP TOTALS,"9,580,000"
ARIZONA,4,SOUTHERN,80,YUMA,27,CROP TOTALS, na
ARKANSAS,5,CENTRAL,50,CONWAY,29,CROP TOTALS,"15,039,000"
ARKANSAS,5,CENTRAL,50,FAULKNER,45,CROP TOTALS,"11,867,000"
ARKANSAS,5,CENTRAL,50,GARLAND,51,CROP TOTALS,"3,048,000"
ARKANSAS,5,CENTRAL,50,GRANT,53,CROP TOTALS,"955,000"
ARKANSAS,5,CENTRAL,50,HOT SPRING,59,CROP TOTALS,"1,201,000"
ARKANSAS,5,CENTRAL,50,PERRY,105,CROP TOTALS,"12,214,000"
ARKANSAS,5,CENTRAL,50,PULASKI,119,CROP TOTALS,"16,444,000"
ARKANSAS,5,CENTRAL,50,SALINE,125,CROP TOTALS,"1,072,000"
ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,CROP TOTALS,"213,439,000"
ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,CROP TOTALS,"164,474,000"
ARKANSAS,5,EAST CENTRAL,60,CROSS,37,CROP TOTALS,"149,166,000"
ARKANSAS,5,EAST CENTRAL,60,LEE,77,CROP TOTALS,"129,797,000"
ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,CROP TOTALS,"157,566,000"
ARKANSAS,5,EAST CENTRAL,60,MONROE,95,CROP TOTALS, na
ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,CROP TOTALS,"189,417,000"
ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,CROP TOTALS,"118,224,000"
ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,CROP TOTALS,"125,507,000"
ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,CROP TOTALS, na
ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,CROP TOTALS,"872,000"
ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,CROP TOTALS,"1,490,000"
ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,CROP TOTALS,"2,335,000"
ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,CROP TOTALS,"1,348,000"
ARKANSAS,5,NORTH CENTRAL,20,MARION,89,CROP TOTALS,"1,009,000"
ARKANSAS,5,NORTH CENTRAL,20,SEARCY,129,CROP TOTALS,"1,331,000"
ARKANSAS,5,NORTH CENTRAL,20,SHARP,135,CROP TOTALS,"1,614,000"
ARKANSAS,5,NORTH CENTRAL,20,STONE,137,CROP TOTALS,"959,000"
ARKANSAS,5,NORTH CENTRAL,20,VAN BUREN,141,CROP TOTALS,"1,074,000"
ARKANSAS,5,NORTHEAST,30,CLAY,21,CROP TOTALS,"164,460,000"
ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,CROP TOTALS,"191,840,000"
ARKANSAS,5,NORTHEAST,30,GREENE,55,CROP TOTALS,"128,061,000"
ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,CROP TOTALS,"21,020,000"
ARKANSAS,5,NORTHEAST,30,JACKSON,67,CROP TOTALS,"116,787,000"
ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,CROP TOTALS,"99,781,000"
ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,CROP TOTALS,"300,843,000"
ARKANSAS,5,NORTHEAST,30,POINSETT,111,CROP TOTALS,"184,724,000"
ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,CROP TOTALS,"40,392,000"
ARKANSAS,5,NORTHEAST,30,WHITE,145,CROP TOTALS,"34,182,000"
ARKANSAS,5,NORTHWEST,10,BENTON,7,CROP TOTALS,"7,562,000"
ARKANSAS,5,NORTHWEST,10,BOONE,9,CROP TOTALS,"3,114,000"
ARKANSAS,5,NORTHWEST,10,CARROLL,15,CROP TOTALS,"3,409,000"
ARKANSAS,5,NORTHWEST,10,MADISON,87,CROP TOTALS,"6,055,000"
ARKANSAS,5,NORTHWEST,10,NEWTON,101,CROP TOTALS,"860,000"
ARKANSAS,5,NORTHWEST,10,WASHINGTON,143,CROP TOTALS,"7,722,000"
ARKANSAS,5,SOUTH CENTRAL,80,BRADLEY,11,CROP TOTALS,"6,652,000"
ARKANSAS,5,SOUTH CENTRAL,80,CALHOUN,13,CROP TOTALS,"349,000"
ARKANSAS,5,SOUTH CENTRAL,80,CLARK,19,CROP TOTALS,"5,663,000"
ARKANSAS,5,SOUTH CENTRAL,80,CLEVELAND,25,CROP TOTALS,"500,000"
ARKANSAS,5,SOUTH CENTRAL,80,COLUMBIA,27,CROP TOTALS,"3,902,000"
ARKANSAS,5,SOUTH CENTRAL,80,DALLAS,39,CROP TOTALS,"1,175,000"
ARKANSAS,5,SOUTH CENTRAL,80,NEVADA,99,CROP TOTALS,"1,540,000"
ARKANSAS,5,SOUTH CENTRAL,80,OUACHITA,103,CROP TOTALS,"346,000"
ARKANSAS,5,SOUTH CENTRAL,80,UNION,139,CROP TOTALS,"597,000"
ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,CROP TOTALS,"63,443,000"
ARKANSAS,5,SOUTHEAST,90,CHICOT,17,CROP TOTALS,"143,290,000"
ARKANSAS,5,SOUTHEAST,90,DESHA,41,CROP TOTALS,"161,113,000"
ARKANSAS,5,SOUTHEAST,90,DREW,43,CROP TOTALS,"40,275,000"
ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,CROP TOTALS,"143,926,000"
ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,CROP TOTALS,"94,045,000"
ARKANSAS,5,SOUTHWEST,70,HEMPSTEAD,57,CROP TOTALS,"5,162,000"
ARKANSAS,5,SOUTHWEST,70,HOWARD,61,CROP TOTALS,"1,803,000"
ARKANSAS,5,SOUTHWEST,70,LAFAYETTE,73,CROP TOTALS,"18,610,000"
ARKANSAS,5,SOUTHWEST,70,LITTLE RIVER,81,CROP TOTALS,"16,617,000"
ARKANSAS,5,SOUTHWEST,70,MILLER,91,CROP TOTALS,"15,772,000"
ARKANSAS,5,SOUTHWEST,70,MONTGOMERY,97,CROP TOTALS,"929,000"
ARKANSAS,5,SOUTHWEST,70,PIKE,109,CROP TOTALS,"1,001,000"
ARKANSAS,5,SOUTHWEST,70,SEVIER,133,CROP TOTALS,"1,233,000"
ARKANSAS,5,WEST CENTRAL,40,CRAWFORD,33,CROP TOTALS,"17,636,000"
ARKANSAS,5,WEST CENTRAL,40,FRANKLIN,47,CROP TOTALS,"5,144,000"
ARKANSAS,5,WEST CENTRAL,40,JOHNSON,71,CROP TOTALS,"4,205,000"
ARKANSAS,5,WEST CENTRAL,40,LOGAN,83,CROP TOTALS,"6,316,000"
ARKANSAS,5,WEST CENTRAL,40,POLK,113,CROP TOTALS,"1,684,000"
ARKANSAS,5,WEST CENTRAL,40,POPE,115,CROP TOTALS,"9,838,000"
ARKANSAS,5,WEST CENTRAL,40,SCOTT,127,CROP TOTALS,"1,631,000"
ARKANSAS,5,WEST CENTRAL,40,SEBASTIAN,131,CROP TOTALS,"1,670,000"
ARKANSAS,5,WEST CENTRAL,40,YELL,149,CROP TOTALS,"6,021,000"
CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,CROP TOTALS,"35,752,000"
CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,CROP TOTALS,"64,406,000"
CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,CROP TOTALS,"69,361,000"
CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,CROP TOTALS,"11,078,000"
CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,CROP TOTALS,"4,077,795,000"
CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,CROP TOTALS,"560,242,000"
CALIFORNIA,6,CENTRAL COAST,40,SAN BENITO,69,CROP TOTALS,"130,203,000"
CALIFORNIA,6,CENTRAL COAST,40,SAN FRANCISCO,75,CROP TOTALS, na
CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,CROP TOTALS,"667,915,000"
CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,CROP TOTALS,"78,021,000"
CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,CROP TOTALS,"293,727,000"
CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,CROP TOTALS,"598,445,000"
CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,CROP TOTALS,"614,868,000"
CALIFORNIA,6,NORTHEAST,30,LASSEN,35,CROP TOTALS,"20,676,000"
CALIFORNIA,6,NORTHEAST,30,MODOC,49,CROP TOTALS,"80,529,000"
CALIFORNIA,6,NORTHEAST,30,PLUMAS,63,CROP TOTALS,"3,365,000"
CALIFORNIA,6,NORTHERN COAST,10,DEL NORTE,15,CROP TOTALS,"11,111,000"
CALIFORNIA,6,NORTHERN COAST,10,HUMBOLDT,23,CROP TOTALS, na
CALIFORNIA,6,NORTHERN COAST,10,MENDOCINO,45,CROP TOTALS,"149,847,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,CROP TOTALS,"507,638,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,CROP TOTALS,"544,843,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,CROP TOTALS,"521,193,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,CROP TOTALS,"301,953,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,CROP TOTALS,"248,410,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,CROP TOTALS,"408,224,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,CROP TOTALS,"162,640,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,CROP TOTALS,"555,211,000"
CALIFORNIA,6,SACRAMENTO VALLEY,50,YUBA,115,CROP TOTALS,"159,212,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,CROP TOTALS,"4,083,741,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,CROP TOTALS,"3,435,861,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,CROP TOTALS,"825,626,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,CROP TOTALS,"1,155,326,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,CROP TOTALS,"1,290,175,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,CROP TOTALS,"1,627,303,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,CROP TOTALS,"1,339,470,000"
CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,CROP TOTALS,"2,223,460,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,ALPINE,3,CROP TOTALS, na
CALIFORNIA,6,SIERRA MOUNTAINS,60,AMADOR,5,CROP TOTALS,"23,202,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,CALAVERAS,9,CROP TOTALS,"9,613,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,EL DORADO,17,CROP TOTALS,"21,352,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,INYO,27,CROP TOTALS,"1,522,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,MARIPOSA,43,CROP TOTALS,"1,894,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,MONO,51,CROP TOTALS,"6,279,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,NEVADA,57,CROP TOTALS,"6,798,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,PLACER,61,CROP TOTALS,"37,556,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,SIERRA,91,CROP TOTALS,"692,000"
CALIFORNIA,6,SIERRA MOUNTAINS,60,TUOLUMNE,109,CROP TOTALS,"1,119,000"
CALIFORNIA,6,SISKIYOU-SHASTA,20,SHASTA,89,CROP TOTALS,"21,771,000"
CALIFORNIA,6,SISKIYOU-SHASTA,20,SISKIYOU,93,CROP TOTALS,"156,486,000"
CALIFORNIA,6,SISKIYOU-SHASTA,20,TRINITY,105,CROP TOTALS, na
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,IMPERIAL,25,CROP TOTALS,"1,222,570,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,LOS ANGELES,37,CROP TOTALS,"133,773,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,ORANGE,59,CROP TOTALS,"82,070,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,RIVERSIDE,65,CROP TOTALS,"707,083,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN BERNARDINO,71,CROP TOTALS,"94,144,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN DIEGO,73,CROP TOTALS,"777,747,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SANTA BARBARA,83,CROP TOTALS,"1,489,364,000"
CALIFORNIA,6,SOUTHERN CALIFORNIA,80,VENTURA,111,CROP TOTALS,"1,620,611,000"
COLORADO,8,EAST CENTRAL,60,ADAMS,1,CROP TOTALS,"103,563,000"
COLORADO,8,EAST CENTRAL,60,ARAPAHOE,5,CROP TOTALS,"20,815,000"
COLORADO,8,EAST CENTRAL,60,CHEYENNE,17,CROP TOTALS,"67,819,000"
COLORADO,8,EAST CENTRAL,60,DENVER,31,CROP TOTALS, na
COLORADO,8,EAST CENTRAL,60,DOUGLAS,35,CROP TOTALS,"11,700,000"
COLORADO,8,EAST CENTRAL,60,EL PASO,41,CROP TOTALS,"13,803,000"
COLORADO,8,EAST CENTRAL,60,ELBERT,39,CROP TOTALS,"7,511,000"
COLORADO,8,EAST CENTRAL,60,KIOWA,61,CROP TOTALS,"40,491,000"
COLORADO,8,EAST CENTRAL,60,KIT CARSON,63,CROP TOTALS,"153,440,000"
COLORADO,8,EAST CENTRAL,60,LINCOLN,73,CROP TOTALS,"39,999,000"
COLORADO,8,EAST CENTRAL,60,PHILLIPS,95,CROP TOTALS,"87,942,000"
COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,CROP TOTALS,"94,001,000"
COLORADO,8,EAST CENTRAL,60,YUMA,125,CROP TOTALS,"199,821,000"
COLORADO,8,NORTHEAST,20,BOULDER,13,CROP TOTALS,"38,380,000"
COLORADO,8,NORTHEAST,20,BROOMFIELD,14,CROP TOTALS,"475,000"
COLORADO,8,NORTHEAST,20,JEFFERSON,59,CROP TOTALS,"7,036,000"
COLORADO,8,NORTHEAST,20,LARIMER,69,CROP TOTALS,"68,874,000"
COLORADO,8,NORTHEAST,20,LOGAN,75,CROP TOTALS,"99,146,000"
COLORADO,8,NORTHEAST,20,MORGAN,87,CROP TOTALS,"89,981,000"
COLORADO,8,NORTHEAST,20,SEDGWICK,115,CROP TOTALS,"46,232,000"
COLORADO,8,NORTHEAST,20,WELD,123,CROP TOTALS,"348,647,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,CHAFFEE,15,CROP TOTALS,"3,998,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,CLEAR CREEK,19,CROP TOTALS,"53,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,EAGLE,37,CROP TOTALS,"1,972,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,GILPIN,47,CROP TOTALS,"37,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,GRAND,49,CROP TOTALS,"3,388,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,GUNNISON,51,CROP TOTALS,"5,472,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,JACKSON,57,CROP TOTALS,"4,530,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,LAKE,65,CROP TOTALS, na
COLORADO,8,NORTHWEST AND MOUNTAIN,10,MOFFAT,81,CROP TOTALS,"3,861,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,PARK,93,CROP TOTALS,"383,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,PITKIN,97,CROP TOTALS,"1,016,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,RIO BLANCO,103,CROP TOTALS,"2,770,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,ROUTT,107,CROP TOTALS,"5,116,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,SUMMIT,117,CROP TOTALS,"524,000"
COLORADO,8,NORTHWEST AND MOUNTAIN,10,TELLER,119,CROP TOTALS,"151,000"
COLORADO,8,SAN LUIS VALLEY,80,ALAMOSA,3,CROP TOTALS,"81,248,000"
COLORADO,8,SAN LUIS VALLEY,80,CONEJOS,21,CROP TOTALS,"34,080,000"
COLORADO,8,SAN LUIS VALLEY,80,COSTILLA,23,CROP TOTALS,"19,353,000"
COLORADO,8,SAN LUIS VALLEY,80,MINERAL,79,CROP TOTALS, na
COLORADO,8,SAN LUIS VALLEY,80,RIO GRANDE,105,CROP TOTALS,"87,758,000"
COLORADO,8,SAN LUIS VALLEY,80,SAGUACHE,109,CROP TOTALS,"90,393,000"
COLORADO,8,SOUTHEAST,90,BACA,9,CROP TOTALS,"52,394,000"
COLORADO,8,SOUTHEAST,90,BENT,11,CROP TOTALS,"16,433,000"
COLORADO,8,SOUTHEAST,90,CROWLEY,25,CROP TOTALS,"1,312,000"
COLORADO,8,SOUTHEAST,90,CUSTER,27,CROP TOTALS,"4,582,000"
COLORADO,8,SOUTHEAST,90,FREMONT,43,CROP TOTALS,"5,136,000"
COLORADO,8,SOUTHEAST,90,HUERFANO,55,CROP TOTALS,"1,421,000"
COLORADO,8,SOUTHEAST,90,LAS ANIMAS,71,CROP TOTALS,"3,791,000"
COLORADO,8,SOUTHEAST,90,OTERO,89,CROP TOTALS,"30,569,000"
COLORADO,8,SOUTHEAST,90,PROWERS,99,CROP TOTALS,"62,809,000"
COLORADO,8,SOUTHEAST,90,PUEBLO,101,CROP TOTALS,"21,356,000"
COLORADO,8,SOUTHWEST,70,ARCHULETA,7,CROP TOTALS,"1,403,000"
COLORADO,8,SOUTHWEST,70,DELTA,29,CROP TOTALS,"30,366,000"
COLORADO,8,SOUTHWEST,70,DOLORES,33,CROP TOTALS,"6,038,000"
COLORADO,8,SOUTHWEST,70,GARFIELD,45,CROP TOTALS,"8,786,000"
COLORADO,8,SOUTHWEST,70,HINSDALE,53,CROP TOTALS, na
COLORADO,8,SOUTHWEST,70,LA PLATA,67,CROP TOTALS,"9,319,000"
COLORADO,8,SOUTHWEST,70,MESA,77,CROP TOTALS,"45,915,000"
COLORADO,8,SOUTHWEST,70,MONTEZUMA,83,CROP TOTALS,"29,848,000"
COLORADO,8,SOUTHWEST,70,MONTROSE,85,CROP TOTALS,"18,468,000"
COLORADO,8,SOUTHWEST,70,OURAY,91,CROP TOTALS,"723,000"
COLORADO,8,SOUTHWEST,70,SAN MIGUEL,113,CROP TOTALS,"895,000"
CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,CROP TOTALS,"22,177,000"
CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,CROP TOTALS,"89,276,000"
CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,CROP TOTALS,"20,992,000"
